symbol,date,time,open,high,low,close,volume,amt
510300.SH,2021/7/12,15:00,5.070866645,5.128960069,5.043296885,5.100405674,596692896,3088418560
510300.SH,2021/7/13,15:00,5.09942104,5.13388324,5.088590062,5.116159823,346440368,1798359504
510300.SH,2021/7/14,15:00,5.111236651,5.111236651,5.04920469,5.060035668,382469312,1970051840
510300.SH,2021/7/15,15:00,5.052158593,5.13388324,5.045266153,5.1269908,355286688,1839020768
510300.SH,2021/7/16,15:00,5.12009836,5.125021532,5.072835914,5.076774451,370235152,1916254592
510300.SH,2021/7/19,15:00,5.067912742,5.108282748,5.027542736,5.098436405,332046160,1709347744
510300.SH,2021/7/20,15:00,5.061020302,5.09942104,5.052158593,5.08563616,306679328,1581145200
510300.SH,2021/7/21,15:00,5.100405674,5.144714218,5.0925286,5.124036897,578430256,3011038368
510300.SH,2021/7/22,15:00,5.125021532,5.152591292,5.118129091,5.128960069,269684080,1405906240
510300.SH,2021/7/23,15:00,5.129944703,5.130929337,5.065943474,5.077759085,268144135,1384583056
510300.SH,2021/7/26,15:00,5.058066399,5.059051033,4.847354659,4.905448083,915273376,4590557952
510300.SH,2021/7/27,15:00,4.90249418,4.9231715,4.729198543,4.735106349,807205216,3972490928
510300.SH,2021/7/28,15:00,4.729198543,4.768583915,4.662243411,4.744952692,913347344,4378815488
510300.SH,2021/7/29,15:00,4.823723436,4.841446853,4.783353429,4.830615876,640206352,3130337232
510300.SH,2021/7/30,15:00,4.807969287,4.808953921,4.74692196,4.79713831,225870235,1097220224
510300.SH,2021/8/2,15:00,4.781384161,4.927110037,4.749875863,4.91627906,375203936,1853444880
510300.SH,2021/8/3,15:00,4.894617105,4.941879552,4.878862957,4.918248329,233009764,1161609440
510300.SH,2021/8/4,15:00,4.907417351,4.962556872,4.905448083,4.961572238,248645287,1248682992
510300.SH,2021/8/5,15:00,4.927110037,4.980280289,4.904463448,4.932033209,209871649,1053873952
510300.SH,2021/8/6,15:00,4.9231715,4.928094672,4.885755397,4.91627906,112699204,561475936
510300.SH,2021/8/9,15:00,4.893632471,4.989141998,4.875909054,4.970433946,229090628,1151898656
510300.SH,2021/8/10,15:00,4.958618335,5.029512004,4.925140769,5.026558102,324122384,1635519296
510300.SH,2021/8/11,15:00,5.019665661,5.045266153,4.997019073,4.999972975,239129600,1219614192
510300.SH,2021/8/12,15:00,4.982249558,5.002926878,4.958618335,4.968464678,133971695,677135200
510300.SH,2021/8/13,15:00,4.955664432,4.988157364,4.913325157,4.941879552,202566401,1017354160
510300.SH,2021/8/16,15:00,4.935971746,4.966495409,4.924156134,4.938925649,186203629,934436576
510300.SH,2021/8/17,15:00,4.933017843,4.964526141,4.819784899,4.828646607,352300896,1751144112
510300.SH,2021/8/18,15:00,4.828646607,4.90938662,4.816830996,4.880832225,384771040,1901295856
510300.SH,2021/8/19,15:00,4.864093442,4.880832225,4.825692704,4.847354659,240311000,1185219024
510300.SH,2021/8/20,15:00,4.836523682,4.837508316,4.714429028,4.758737572,418441344,2023086384
510300.SH,2021/8/23,15:00,4.768583915,4.835539047,4.765630012,4.829631242,352961264,1724629440
510300.SH,2021/8/24,15:00,4.834554413,4.901509545,4.834554413,4.880832225,317705408,1571638432
510300.SH,2021/8/25,15:00,4.8887093,4.896586374,4.862124173,4.894617105,207656406,1029752688
510300.SH,2021/8/26,15:00,4.891663202,4.892647837,4.795169041,4.81092319,194840259,956302464
